UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.240#pm0.073, #Delta#sigma_{MC,Data}=-0.251#pm0.055
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.776#pm0.179, #Delta#sigma_{MC,Data}=-1.033#pm0.121
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-1.174#pm0.274, #Delta#sigma_{MC,Data}=-1.964#pm0.182
UE Data/MC(#bf{20-30%, All-Plane}, AbsEta0p0to1p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=0.615#pm0.111, #Delta#sigma_{MC,Data}=-0.209#pm0.065
UE Data/MC(#bf{10-20%, All-Plane}, AbsEta0p0to1p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=1.037#pm0.163, #Delta#sigma_{MC,Data}=-0.227#pm0.097
UE Data/MC(#bf{5-10%, All-Plane}, AbsEta0p0to1p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=-0.140#pm0.232, #Delta#sigma_{MC,Data}=-0.893#pm0.138
UE Data/MC(#bf{0-5%, All-Plane}, AbsEta0p0to1p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=-0.165#pm0.278, #Delta#sigma_{MC,Data}=-0.709#pm0.162
UE Data/MC(#bf{20-30%, All-Plane}, AbsEta0p0to1p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.087#pm0.095, #Delta#sigma_{MC,Data}=-0.174#pm0.061
UE Data/MC(#bf{10-20%, All-Plane}, AbsEta0p0to1p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.276#pm0.152, #Delta#sigma_{MC,Data}=-0.445#pm0.094
UE Data/MC(#bf{5-10%, All-Plane}, AbsEta0p0to1p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.097#pm0.254, #Delta#sigma_{MC,Data}=-0.335#pm0.159
UE Data/MC(#bf{0-5%, All-Plane}, AbsEta0p0to1p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.201#pm0.289, #Delta#sigma_{MC,Data}=-0.485#pm0.166
UE Data/MC(#bf{20-30%, All-Plane}, AbsEta0p0to1p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=0.709#pm0.156, #Delta#sigma_{MC,Data}=-0.757#pm0.097
UE Data/MC(#bf{10-20%, All-Plane}, AbsEta0p0to1p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=1.027#pm0.205, #Delta#sigma_{MC,Data}=-0.985#pm0.138
